City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sumenep,ID,-7.0167,113.8667,84.67,75,91,14.36,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,82.22,71,95,3.89,overcast clouds
2,Bluff,NZ,-46.6,168.3333,47.8,69,94,22.24,overcast clouds
3,Hilo,US,19.7297,-155.09,78.53,77,75,5.75,broken clouds
4,Dikson,RU,73.5069,80.5464,35.35,87,76,6.69,broken clouds
5,Hamilton,US,39.1834,-84.5333,83.73,75,0,5.75,clear sky
6,General Cepeda,MX,25.3833,-101.45,73.08,65,84,2.59,broken clouds
7,Mataura,NZ,-46.1927,168.8643,47.48,94,100,7.65,light rain
8,Longyearbyen,SJ,78.2186,15.6401,39.04,70,75,11.5,broken clouds
9,Arraial Do Cabo,BR,-22.9661,-42.0278,67.46,77,21,10.51,few clouds
10,Tautira,PF,-17.7333,-149.15,78.87,79,26,16.93,light rain
11,Avarua,CK,-21.2078,-159.775,77.05,78,10,5.75,clear sky
12,Ushuaia,AR,-54.8,-68.3,46.06,49,75,11.5,broken clouds
13,Kapaa,US,22.0752,-159.319,82.38,91,75,19.57,broken clouds
14,Pendleton,US,45.6721,-118.7886,68.23,64,0,18.41,clear sky
15,Cairns,AU,-16.9167,145.7667,84.11,61,40,16.11,scattered clouds
16,Punta Arenas,CL,-53.15,-70.9167,42.91,56,75,20.71,broken clouds
17,Bonavista,CA,48.6499,-53.1147,44.51,76,5,4.81,clear sky
18,Busselton,AU,-33.65,115.3333,67.59,67,47,16.62,scattered clouds
19,Saint-Philippe,RE,-21.3585,55.7679,71.19,80,77,16.15,broken clouds
20,Cape Town,ZA,-33.9258,18.4232,55.38,79,0,5.75,clear sky
21,Rikitea,PF,-23.1203,-134.9692,72.97,66,85,9.31,overcast clouds
22,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,75,20,13.8,few clouds
23,Jamestown,US,42.097,-79.2353,76.05,91,44,1.01,scattered clouds
24,Tiksi,RU,71.6872,128.8694,36.32,74,10,10.18,clear sky
25,Pundaguitan,PH,6.3711,126.1689,82.45,75,76,9.08,moderate rain
26,Cap-Aux-Meules,CA,47.3821,-61.8597,55.42,76,0,9.22,clear sky
27,Hermanus,ZA,-34.4187,19.2345,42.8,71,63,8.28,broken clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,45.95,92,100,0.0,fog
29,Rio Grande,BR,-32.035,-52.0986,53.87,85,71,4.61,light rain
30,Noumea,NC,-22.2763,166.4572,82.38,99,94,10.07,overcast clouds
31,Aviles,ES,43.5547,-5.9248,73.38,92,84,6.91,broken clouds
32,Vaini,TO,-21.2,-175.2,78.96,78,75,6.91,broken clouds
33,Port Alfred,ZA,-33.5906,26.891,46.18,75,29,5.01,scattered clouds
34,Klaksvik,FO,62.2266,-6.589,49.12,94,95,8.7,overcast clouds
35,Mecca,SA,21.4267,39.8261,90.21,24,0,9.24,clear sky
36,Nanortalik,GL,60.1432,-45.2371,36.55,89,2,6.33,clear sky
37,Bethel,US,41.3712,-73.414,66.36,85,75,0.0,broken clouds
38,Nikolskoye,RU,59.7035,30.7861,60.87,71,9,12.12,clear sky
39,Xichang,CN,27.8964,102.2634,69.66,73,97,2.46,overcast clouds
40,Ribeira Grande,PT,38.5167,-28.7,65.34,89,21,3.74,few clouds
41,Marathon,US,44.9,-89.7668,59.36,96,0,5.75,clear sky
42,San Isidro,PE,-12.1167,-77.05,60.39,72,0,11.5,clear sky
43,San Cristobal,VE,7.7669,-72.225,68.18,96,98,2.39,overcast clouds
44,Buchanan,LR,5.8808,-10.0467,75.67,90,100,8.55,moderate rain
45,Lufilufi,WS,-13.8745,-171.5986,83.98,78,22,18.9,light rain
46,Saint Anthony,US,45.0205,-93.218,69.58,72,0,9.22,clear sky
47,Codrington,AU,-38.2667,141.9667,56.79,78,55,13.65,broken clouds
48,Castro,BR,-24.7911,-50.0119,50.22,89,8,1.79,clear sky
49,Faanui,PF,-16.4833,-151.75,80.76,71,8,17.81,clear sky
50,Belaya Gora,RU,68.5333,146.4167,74.57,24,50,9.42,scattered clouds
51,Cherskiy,RU,68.75,161.3,61.92,22,18,14.38,few clouds
52,Saint George,US,37.1041,-113.5841,90.19,18,0,5.75,clear sky
53,Yellowknife,CA,62.456,-114.3525,59.56,82,100,10.36,overcast clouds
54,Carnarvon,AU,-24.8667,113.6333,74.25,73,95,7.09,overcast clouds
55,Champerico,GT,14.3,-91.9167,77.65,86,99,9.6,overcast clouds
56,Naryan-Mar,RU,67.6713,53.087,56.57,50,99,11.83,overcast clouds
57,Rocha,UY,-34.4833,-54.3333,50.18,93,100,4.68,overcast clouds
58,Nurota,UZ,40.5614,65.6886,89.91,19,0,10.42,clear sky
59,San Patricio,US,28.017,-97.5169,83.84,84,90,14.16,overcast clouds
60,Qaanaaq,GL,77.484,-69.3632,23.31,74,27,6.15,scattered clouds
61,Hobart,AU,-42.8794,147.3294,53.46,85,75,6.91,broken clouds
62,Lere,NG,10.387,8.5726,68.54,92,99,2.8,light rain
63,Langsa,ID,4.4683,97.9683,76.62,94,100,4.43,overcast clouds
64,New Norfolk,AU,-42.7826,147.0587,53.1,70,41,0.96,scattered clouds
65,Ponta Do Sol,PT,32.6667,-17.1,66.83,73,36,6.58,scattered clouds
66,Upernavik,GL,72.7868,-56.1549,29.53,68,100,4.74,overcast clouds
67,Hatillo,PR,18.4863,-66.8254,79.09,96,100,1.01,overcast clouds
68,Iskateley,RU,67.6803,53.1512,56.5,50,98,11.74,overcast clouds
69,Pimenta Bueno,BR,-11.6725,-61.1936,74.93,76,94,0.89,overcast clouds
70,Elko,US,41.0002,-115.5012,68.02,17,0,1.99,clear sky
71,Novyy Urengoy,RU,66.0833,76.6333,67.21,52,80,22.82,broken clouds
72,Sompeta,IN,18.9333,84.6,91.08,61,100,13.73,overcast clouds
73,East London,ZA,-33.0153,27.9116,52.74,54,0,14.97,clear sky
74,Thompson,CA,55.7435,-97.8558,57.36,88,75,4.61,broken clouds
75,Pacific Grove,US,36.6177,-121.9166,60.48,79,0,11.5,clear sky
76,Sapa,PH,5.1544,120.3241,82.58,75,100,6.8,overcast clouds
77,Okha,RU,53.5739,142.9478,49.44,86,100,8.48,overcast clouds
78,Arak,IR,34.0917,49.6892,66.96,52,0,4.61,clear sky
79,Cidreira,BR,-30.1811,-50.2056,57.52,86,3,4.52,clear sky
80,Northam,GB,51.0333,-4.2167,53.4,83,88,1.45,overcast clouds
81,Longido,TZ,-2.7333,36.6833,62.4,80,63,4.72,broken clouds
82,Shimanovsk,RU,52.0,127.7,69.62,62,100,10.25,light rain
83,Teruel,ES,40.6667,-0.6667,66.72,46,97,4.07,overcast clouds
84,Ostrovnoy,RU,68.0531,39.5131,43.36,91,100,17.98,light rain
85,Najran,SA,17.4924,44.1277,81.25,14,75,9.73,broken clouds
86,Jalu,LY,29.0331,21.5482,77.29,45,0,7.18,clear sky
87,Kahului,US,20.8947,-156.47,82.42,71,40,17.27,scattered clouds
88,Atuona,PF,-9.8,-139.0333,78.04,67,57,19.04,broken clouds
89,Severo-Kurilsk,RU,50.6789,156.125,49.41,84,99,8.88,overcast clouds
90,Bussigny,CH,46.5511,6.556,70.09,68,21,2.75,few clouds
91,Te Anau,NZ,-45.4167,167.7167,45.91,92,100,4.25,overcast clouds
92,Tura,IN,25.5198,90.2201,79.12,89,100,8.21,heavy intensity rain
93,Amazar,RU,53.858,120.875,76.93,27,95,4.05,overcast clouds
94,Znamenskoye,RU,57.1281,73.8282,67.12,51,93,11.9,overcast clouds
95,Berlevag,NO,70.8578,29.0864,39.2,87,100,13.8,light intensity drizzle
96,Yenagoa,NG,4.9247,6.2642,73.44,97,79,1.5,light rain
97,Beringovskiy,RU,63.05,179.3167,45.5,72,99,18.07,overcast clouds
98,Port Hedland,AU,-20.3167,118.5667,86.05,21,37,13.8,scattered clouds
99,Muros,ES,42.7762,-9.0603,67.84,83,38,10.18,scattered clouds
100,Yabrud,SY,33.9674,36.6574,67.73,44,0,3.22,clear sky
101,Georgetown,MY,5.4112,100.3354,87.73,70,20,7.0,few clouds
102,Saskylakh,RU,71.9167,114.0833,57.13,30,10,5.44,clear sky
103,Mahebourg,MU,-20.4081,57.7,76.24,83,20,10.36,few clouds
104,Puerto Ayora,EC,-0.7393,-90.3518,71.55,94,13,1.99,few clouds
105,Linares,CL,-35.85,-71.6,48.31,88,59,3.91,broken clouds
106,Margate,GB,51.3813,1.3862,59.7,86,41,2.24,scattered clouds
107,Corbelia,BR,-24.7989,-53.3067,53.47,93,0,5.23,clear sky
108,Arica,CL,-18.475,-70.3042,61.03,72,100,2.3,overcast clouds
109,Ahipara,NZ,-35.1667,173.1667,57.65,77,1,6.46,clear sky
110,Sao Joao Da Barra,BR,-21.6403,-41.0511,62.19,88,49,6.53,scattered clouds
111,Lakes Entrance,AU,-37.8811,147.981,55.51,84,100,10.67,overcast clouds
112,Khatanga,RU,71.9667,102.5,72.46,28,62,10.29,broken clouds
113,Narsaq,GL,60.9167,-46.05,44.82,64,2,2.57,clear sky
114,Harper,LR,4.375,-7.7169,74.79,94,100,13.2,heavy intensity rain
115,Bubaque,GW,11.2833,-15.8333,79.65,84,87,14.18,moderate rain
116,Mareeba,AU,-17.0,145.4333,79.48,65,40,5.84,scattered clouds
117,Tasiilaq,GL,65.6145,-37.6368,41.16,97,100,8.08,overcast clouds
118,Puerto Escondido,MX,15.85,-97.0667,76.03,73,100,5.75,overcast clouds
119,Bilma,NE,18.6853,12.9164,85.86,38,100,3.78,overcast clouds
120,Ketchikan,US,55.3422,-131.6461,63.07,59,0,5.75,clear sky
121,Souillac,MU,-20.5167,57.5167,73.78,83,20,10.36,few clouds
122,Albany,US,42.6001,-73.9662,70.63,74,72,9.17,broken clouds
123,Udachnyy,RU,66.4167,112.4,66.45,45,10,6.76,clear sky
124,Lorengau,PG,-2.0226,147.2712,85.08,68,97,9.37,overcast clouds
125,Barrow,US,71.2906,-156.7887,37.42,87,0,10.36,clear sky
126,Asosa,ET,10.0667,34.5333,63.01,93,100,4.21,overcast clouds
127,Ko Samui,TH,9.5357,99.9357,87.71,66,20,6.91,light rain
128,Norman Wells,CA,65.282,-126.8329,60.84,48,40,2.3,scattered clouds
129,Kodiak,US,57.79,-152.4072,54.91,76,75,3.44,broken clouds
130,Morden,CA,49.1919,-98.1014,58.86,88,92,9.22,overcast clouds
131,Palmares Do Sul,BR,-30.2578,-50.5097,54.55,87,8,3.02,clear sky
132,Muncar,ID,-8.4333,114.3333,85.1,72,90,7.94,overcast clouds
133,Bredasdorp,ZA,-34.5322,20.0403,44.53,79,52,4.12,broken clouds
134,Saint-Pierre,RE,-21.3393,55.4781,74.91,64,0,6.91,clear sky
135,Butaritari,KI,3.0707,172.7902,82.56,70,22,12.77,few clouds
136,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,4.61,overcast clouds
137,Batagay,RU,67.6333,134.6333,68.4,38,87,13.94,overcast clouds
138,College,US,64.8569,-147.8028,70.12,53,75,13.8,broken clouds
139,Palmer,US,42.1584,-72.3287,66.43,74,100,8.05,overcast clouds
140,Seredka,RU,58.1584,28.1858,56.95,69,3,10.65,clear sky
141,Port Elizabeth,ZA,-33.918,25.5701,46.69,85,20,6.91,few clouds
142,Port Hardy,CA,50.6996,-127.4199,51.98,93,100,3.44,light intensity shower rain
143,Geraldton,AU,-28.7667,114.6,73.81,68,69,5.75,broken clouds
144,Belmonte,BR,-15.8631,-38.8828,70.93,76,84,9.01,broken clouds
145,Esperance,AU,-33.8667,121.9,66.81,53,0,6.67,clear sky
146,Iqaluit,CA,63.7506,-68.5145,40.73,86,100,12.66,overcast clouds
147,The Pas,CA,53.8251,-101.2541,55.42,76,0,3.44,clear sky
148,Bathsheba,BB,13.2167,-59.5167,83.01,83,75,18.41,broken clouds
149,Ancud,CL,-41.8697,-73.8203,46.22,91,82,4.85,light rain
150,Tuatapere,NZ,-46.1333,167.6833,46.8,82,100,12.8,overcast clouds
151,Coahuayana,MX,18.7333,-103.6833,78.39,90,100,3.51,overcast clouds
152,Frutal,BR,-20.0247,-48.9406,65.05,58,3,6.22,clear sky
153,Amposta,ES,40.7131,0.581,71.22,67,95,2.82,overcast clouds
154,Cabildo,AR,-38.4842,-61.8954,42.15,91,10,2.51,clear sky
155,Alta Floresta,BR,-9.8756,-56.0861,72.14,74,48,1.88,scattered clouds
156,Labuhan,ID,-6.8844,112.2051,85.89,70,68,11.59,broken clouds
157,Olafsvik,IS,64.8945,-23.7142,48.06,70,93,13.73,overcast clouds
158,Yar-Sale,RU,66.8333,70.8333,65.03,30,3,20.02,clear sky
159,Portland,US,45.5234,-122.6762,64.38,74,100,6.91,overcast clouds
160,Ayia Galini,GR,35.1,24.6833,77.4,68,0,6.51,clear sky
161,Lagoa,PT,39.05,-27.9833,63.46,92,17,7.87,few clouds
162,The Village,US,35.5609,-97.5514,84.78,67,0,18.41,clear sky
163,Lukulu,ZM,-14.3707,23.242,52.63,58,0,5.06,clear sky
164,Shingu,JP,33.7333,135.9833,74.17,82,100,13.33,overcast clouds
165,Qaqortoq,GL,60.7167,-46.0333,38.23,79,2,0.56,clear sky
166,Pisco,PE,-13.7,-76.2167,58.01,88,100,5.75,smoke
167,Vardo,NO,70.3705,31.1107,40.98,93,100,17.27,overcast clouds
168,Husavik,IS,66.0449,-17.3389,48.11,84,95,4.97,overcast clouds
169,Dakar,SN,14.6937,-17.4441,76.08,86,86,13.38,overcast clouds
170,Komsomolskiy,UZ,40.4272,71.7189,81.32,34,53,4.61,broken clouds
171,Lovozero,RU,68.005,35.0117,47.17,80,100,15.14,light rain
172,Acajutla,SV,13.5928,-89.8275,76.42,90,100,7.67,moderate rain
173,Torbay,CA,47.6666,-52.7314,39.97,82,20,5.99,few clouds
174,Nome,US,64.5011,-165.4064,44.67,81,100,9.22,overcast clouds
175,Richmond,US,37.5538,-77.4603,78.78,62,75,12.66,broken clouds
176,Gao,ML,16.6362,1.637,80.38,52,96,15.55,light rain
177,Santa Cruz,BO,-17.8,-63.1667,63.86,82,0,11.5,clear sky
178,Nara,JP,34.6851,135.8049,80.49,49,100,7.25,light rain
179,Makaha,US,21.4694,-158.2175,80.51,69,75,6.91,broken clouds
180,Shakiso,ET,5.75,38.9167,60.53,90,99,0.85,overcast clouds
181,Baley,RU,51.6,116.6333,71.38,40,70,6.13,broken clouds
182,Srandakan,ID,-7.9386,110.2506,84.99,69,57,6.4,broken clouds
183,Havelock,US,34.8791,-76.9013,78.78,86,5,6.64,clear sky
184,Bengkulu,ID,-3.8004,102.2655,83.64,66,91,5.41,overcast clouds
185,Catalao,BR,-18.1658,-47.9464,61.84,71,35,5.12,scattered clouds
186,Kieta,PG,-6.2167,155.6333,82.26,75,81,3.85,light rain
187,Barabai,ID,-2.5833,115.3833,77.45,94,90,1.3,overcast clouds
188,Sabang,ID,5.8933,95.3214,81.88,71,98,5.64,overcast clouds
189,Yulara,AU,-25.2406,130.9889,71.29,29,10,3.58,clear sky
190,Jinan,CN,36.6683,116.9972,97.7,20,94,9.26,overcast clouds
191,La Ronge,CA,55.1001,-105.2842,59.25,77,75,5.75,broken clouds
192,Danane,CI,7.2596,-8.155,70.05,98,100,3.83,overcast clouds
193,Monrovia,LR,6.3005,-10.7969,76.5,87,96,11.27,moderate rain
194,Kirakira,SB,-10.4544,161.9205,82.44,77,95,9.71,overcast clouds
195,Leningradskiy,RU,69.3833,178.4167,40.46,71,90,5.97,overcast clouds
196,Adrar,MR,20.5022,-10.0711,86.38,30,13,9.8,few clouds
197,Santa Rosa,PH,14.3122,121.1114,93.09,62,85,1.48,overcast clouds
198,Bay Roberts,CA,47.5999,-53.2648,40.75,95,1,2.21,clear sky
199,Revyakino,RU,54.3669,37.6589,58.86,74,7,7.56,clear sky
200,Chernyshevskiy,RU,63.0128,112.4714,72.45,38,100,4.0,overcast clouds
201,Poronaysk,RU,49.2167,143.1167,62.67,60,39,14.74,scattered clouds
202,Sistranda,NO,63.7256,8.834,51.76,96,100,9.35,overcast clouds
203,Pasni,PK,25.2631,63.471,83.59,77,76,11.7,broken clouds
204,Reforma,MX,18.1,-91.0167,75.33,73,54,4.29,broken clouds
205,Sitka,US,57.0531,-135.33,64.29,52,0,8.05,clear sky
206,Pochutla,MX,15.7432,-96.4661,73.27,92,100,2.44,overcast clouds
207,Pangody,RU,65.85,74.4859,64.76,56,94,22.77,overcast clouds
208,Kensington,AU,-33.9167,151.2167,69.31,47,75,11.5,broken clouds
209,Hanyang,CN,32.1371,105.5126,85.46,40,100,9.53,overcast clouds
210,Matara,LK,5.9485,80.5353,82.36,76,100,9.44,light rain
211,Teknaf,BD,20.8624,92.3058,78.44,92,100,10.71,overcast clouds
212,Guerrero Negro,MX,27.9769,-114.0611,62.82,85,0,13.69,clear sky
213,Bambanglipuro,ID,-7.95,110.2833,84.92,69,54,6.44,broken clouds
214,Kabare,CD,-2.4683,28.8242,60.48,91,66,1.21,broken clouds
215,Jishou,CN,28.3167,109.7167,76.82,82,100,1.9,overcast clouds
216,Kupang,ID,-10.1667,123.5833,86.63,57,38,14.79,scattered clouds
217,Provideniya,RU,64.3833,-173.3,37.51,100,100,22.37,drizzle
218,Raduzhnyy,RU,62.0961,77.475,60.28,90,100,13.44,light rain
219,Cabo San Lucas,MX,22.8909,-109.9124,82.62,71,44,11.14,scattered clouds
220,Pevek,RU,69.7008,170.3133,35.2,80,17,8.21,few clouds
221,Zhigansk,RU,66.7697,123.3711,58.75,50,6,18.68,clear sky
222,Nerchinskiy Zavod,RU,51.3088,119.61,74.91,38,67,4.05,broken clouds
223,Ca Mau,VN,9.1769,105.15,94.23,48,95,0.51,overcast clouds
